source_path,canonical_path,action,reason,size_bytes,sha256,status
formato RTF.rtf,12-research/risco-cognitivo/RC-BLOG-RSCH-MODELO-CADEIA-CAUSAL-RISCO-COGNITIVO-001-V01.rtf,RENAME,Pesquisa conceitual: cadeia causal de risco cognitivo,15010,8d5d00aa0f0797cfdd148749aa84a831fffbc5f095ade352872be406339a58ab,STAGED
texto.txt,12-research/risco-cognitivo/RC-BLOG-RSCH-MODELO-RISCO-ENDOGENO-PRIMARIO-SECUNDARIO-001-V01.txt,RENAME,Pesquisa conceitual: loop de risco endógeno primário/secundário,4199,277db24cd6dc2629cf578df49c1fa914364b2095f51fc7a5b7b00430ebfeb94a,STAGED
Texto HTML.html,06-marketing-pem/editorial/RC-BLOG-MKT-ARQUITETURA-CURRICULAR-EDITORIAL-001-V01.html,RENAME,Progressão curricular editorial em 14 núcleos,8954,c603ab3cd16d9ee126c42bf47dc0d9cee54a27603d0ced44c60fbcb49e6bc763,STAGED
Texto HTML 2.html,06-marketing-pem/editorial/RC-BLOG-MKT-MATRIZ-PILARES-CONSCIENCIA-001-V01.html,RENAME,Matriz editorial 3 pilares × níveis de consciência,6772,56bfee38cc114948113d0558a1c22b086db4fb40e833c73a949294606f420f3c,STAGED
PD-CLB-20260906-F01-DOC-V01__process-doc-padrao-multiplataforma(1).docx,02-briefing-lancamento/process-doc/PD-CLB-20260906-F01-DOC-V01__process-doc-padrao-multiplataforma.docx,NORMALIZE_SUFFIX,Preserva ID canônico; remove sufixo de duplicação local,24146,396067abc153cc0a1abbec882f15dee92c5bf510fbbd59b27324611c567b88b3,STAGED
C/texto.txt,05-engineering/research/RC-BLOG-ENG-ESCOPO-FULLSTACK-001-V01.txt,RENAME,Definição das camadas de um blog full stack,2445,badd594331195125c7253cbc06ef43f4e55b41d75697ad7c1cb38ee819131d3f,STAGED
C/texto 2.txt,06-marketing-pem/growth/RC-BLOG-MKT-ARQUITETURA-CAPTACAO-RETENCAO-EXPERIENCIA-001-V01.txt,RENAME,"Arquitetura de captação, retenção e experiência",13135,30bff0b1070f2ad034d00065414354e0e5ed4f03924f020293fe3fdcaa9bd685,STAGED
C/texto 3.txt,09-agents/research/RC-BLOG-AGT-ARQUITETURA-AI-CREATOR-OPS-001-V01.txt,RENAME,Arquitetura de sistema de produção assistido por IA,15031,202d705ea7dfcbba34460d09727a58f48cd82b5ea83c7c8ca33c7bc2e63b1b5e,STAGED
C/texto 4.txt,04-design/research/RC-BLOG-DSN-BIBLIOTECA-VISUAL-RISCO-COGNITIVO-001-V01.txt,RENAME,Biblioteca visual para o framework de Risco Cognitivo,3659,b8e2985abf737fc339942dc3ee2f778b32bafe6ffe56819534aa4fd14dfc4a66,STAGED
C/Texto HTML.html,02-briefing-lancamento/RC-BLOG-STR-ARQUITETURA-OPERACAO-CREATOR-BLOG-001-V01.html,RENAME,"Estratégia do blog como operação editorial, comercial e tecnológica",6780,5be30dbace4d7c88050c8a7762ae073c0d6eb387fd861232c9e55bd41c4fb82b,STAGED
C/Texto HTML 2.html,05-engineering/handoffs/RC-BLOG-ENG-HANDOFF-CLAUDE-DESIGN-REACT-001-V01.html,RENAME,Nota de handoff do pacote Claude Design + React,4011,3ca10075eb90880f08f71e4c67097bdf6929e9c8a4bcf52636d921808cb863c1,STAGED
C/Texto HTML 3.html,06-marketing-pem/editorial/RC-BLOG-MKT-TESE-TRES-PILARES-001-V01.html,RENAME,SCQA e tese dos três pilares editoriais,3673,e259a0ca0411f63fae934b5bdefd9f53324c2925cc3f08ab8a8d56f9ad1cdbed,STAGED
C/Schema.html,09-agents/schema/RC-BLOG-AGT-SCHEMA-AI-NATIVE-CREATOR-OS-001-V02.html,RENAME,Proposta V2 do kernel/schema agentivo,37861,866557386431368502baa58ddaee1ebfc54974327204da09bd73a70835871fe6,STAGED
C/Task.txt,09-agents/schema/RC-BLOG-AGT-BACKLOG-AI-NATIVE-CREATOR-OS-SCHEMA-001-V01.txt,RENAME,Próximo artefato lógico do sistema agentivo,458,e725060f87746f3910b589edfcdad780efe126044e9df743af73e59b340de1df,STAGED
C/deep-research-report.md,12-research/arquitetura/RC-BLOG-ENG-RESEARCH-TOPOLOGIA-CREATOR-BLOG-001-V01.md,RENAME,Deep research de topologia para ecossistema creator-led,49103,5c537369a39caf0ba9c6e29f5681160e09124bcc4df8790507433fb18485016c,STAGED
C/Topologia moderna de direto╠ürios para um ecossistema creator-led com blog de aquisic╠ºa╠âo ΓÇö arquitetura .docx,12-research/arquitetura/RC-BLOG-ENG-RESEARCH-TOPOLOGIA-CREATOR-BLOG-001-V01.docx,FIX_ENCODING_AND_RENAME,Versão DOCX do estudo de topologia; corrige filename corrompido,156958,9f206980b0b8005ac6ef6b43cd7dc1835e8977d4f9920ff75e5b55a57642d684,STAGED
C/EXECUTAR_BLOG_CLAUDE_DESIGN_REACT_FULLSTACK_001.zip,05-engineering/handoffs/EXECUTAR_BLOG_CLAUDE_DESIGN_REACT_FULLSTACK_001/,EXPAND_KEEP_INTERNAL_PATHS,Pacote técnico autocontido; nomes internos preservados para não quebrar referências,31216216,9bc0e42429f44eeefbf0612f2f72c99f3b1be79cea8432851e34a91e142f413c,STAGED_EXPANDED
